stock_id,standard_code,short_code,kor_stock_name,kor_stock_abbr,eng_stock_name,listing_date,market_type,security_type,affiliated_dept,stock_type,listed_shares
224,KR7000850008,000850,화천기공보통주,화천기공,HwacheonMachineTool,1999/11/18,KOSPI,주권,,보통주,2200000
225,KR7097870000,097870,효성오앤비,효성오앤비,"Hyosung ONB Co., Ltd",2008/04/08,KOSDAQ,주권,중견기업부,보통주,8490000
226,KR7078590007,078590,휴림에이텍,휴림에이텍,HYULIM A-TECH,2005/10/27,KOSDAQ,주권,중견기업부,보통주,56210338
227,KR7115160004,115160,휴맥스,휴맥스,"HUMAX CO., LTD.",2009/11/16,KOSDAQ,주권,중견기업부,보통주,43970124
228,KR7028080000,028080,휴맥스홀딩스,휴맥스홀딩스,"Humax Holdings Co., Ltd",1997/04/16,KOSDAQ,주권,중견기업부,보통주,12577506
229,KR7010240000,010240,흥국,흥국,"HEUNGKUK METALTECH CO.,LTD.",2009/05/12,KOSDAQ,주권,우량기업부,보통주,12322696
230,KR7003280005,003280,흥아해운보통주,흥아해운,HeungaShipping,1976/06/29,KOSPI,주권,,보통주,240424899
231,KR7065770000,065770,씨에스,CS,CS CORPORATION,2004/06/04,KOSDAQ,주권,벤처기업부,보통주,19411130
232,KR7155660004,155660,DSR보통주,DSR,DSR CORP,2013/05/15,KOSPI,주권,,보통주,16000000
233,KR7069730000,069730,DSR제강보통주,DSR제강,DSRWIRECORP,2003/01/28,KOSPI,주권,,보통주,14400000
234,KR7130500002,130500,지에이치신소재,GH신소재,GH Advanced Materials Inc.,2013/08/02,KOSDAQ,주권,우량기업부,보통주,14545052
235,KR7052220001,052220,아이엠비씨,iMBC,"iMBC Co., Ltd.",2005/01/21,KOSDAQ,주권,중견기업부,보통주,23000000
236,KR7021320007,021320,케이씨씨건설,KCC건설,"KCC ENGINEERING & CONSTRUCTION CO., LTD.",2001/08/21,KOSDAQ,주권,우량기업부,보통주,21400000
237,KR7044180008,044180,KD,KD,KD Corporation,2000/11/16,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,26717799
238,KR7058400003,058400,케이엔엔,KNN,KOREA NEW NETWORK CORPORATION,2010/11/03,KOSDAQ,주권,우량기업부,보통주,132429720
239,KR7000680009,000680,LS네트웍스보통주,LS네트웍스,LSNetworks,1973/11/15,KOSPI,주권,,보통주,78803016
240,KR7023150006,023150,MH에탄올보통주,MH에탄올,MHETHANOL,1996/12/24,KOSPI,주권,,보통주,7378526
241,KR7053290003,053290,엔이능률,NE능률,"NE Neungyule, Inc.",2002/12/10,KOSDAQ,주권,우량기업부,보통주,16526307
242,KR7024940009,024940,피엔풍년,PN풍년,"PNPOONGNYUN CO.,LTD",1995/01/04,KOSDAQ,주권,벤처기업부,보통주,10000000
243,KR7099220006,099220,에스디엔,SDN,SDN Company Ltd.,2009/05/19,KOSDAQ,주권,중견기업부,보통주,56171811
244,KR7001380005,001380,SG글로벌보통주,SG글로벌,SG GLOBAL,1976/06/29,KOSPI,주권,,보통주,44964143
245,KR7022220008,022220,티케이지애강,TKG애강,TKG AIKANG,2006/04/11,KOSDAQ,주권,우량기업부,보통주,51794579
246,KR7007980006,007980,티피보통주,TP,TP,1994/12/27,KOSPI,주권,,보통주,51175130
247,KR7024070005,024070,WISCOM보통주,WISCOM,WISCOM,1996/11/22,KOSPI,주권,,보통주,15326438
248,KR7057030009,057030,와이비엠넷,YBM넷,"YBM NET, Inc.",2004/06/08,KOSDAQ,주권,중견기업부,보통주,16312697
